SIRA;MALZEME;MALZEME RUS€A;DEPO;B˜R˜M;M˜KTAR;B˜R˜M F˜YAT;
100;ELOSTAB˜T MEMBRAN 3.0mm; ????????????????? ???????? Elostabit 3.0 ??;˜NSAAT;Mý;0;;
101;EMN˜YET ˜KZA BANDI; ?????????? ????? (?????????????????);˜NSAAT;Adet;20;;
102;EVRAK RAFI MASA šSTš 3 Lš; ?????????? ????? ??? ?????????? (3 ??????);˜NSAAT;Adet;0;;
103;FAN MAK˜NES˜; ??????????;˜NSAAT;Adet;0;;
104;FARAž; ????? ??? ??????;˜NSAAT;Adet;0;;
105;F˜ž KAU€UK (ERKEK); ????? ????????? (???????);˜NSAAT;Adet;0;;
106;F˜ž T˜R˜FAZE 3X16A; ????? ?????????? 3x16?;˜NSAAT;Adet;0;;
107;FOSFORLU KALEM (4 Lš); ??????-???????????????? (????? 4 ??.);˜NSAAT;Paket;20;;
108;GALVEN˜Z KOVA; ???????????? ?????;˜NSAAT;Adet;0;;
109;HDMI KABLO (1.5m); ?????? HDMI (1.5 ?);˜NSAAT;Adet;0;;
110;HESAP MAK˜NASI; ???????????;˜NSAAT;Adet;0;;
111;HIZLI YAPIžTIRICI; ??????? ????;˜NSAAT;Adet;0;;
112;HORTUM KELEP€ES˜ 19X29; ????? ??? ?????? 19?29 ??;˜NSAAT;Adet;0;;
113;HORTUM KELEP€ES˜ 44 - 64mm; ????? ??? ?????? 44?64 ??;˜NSAAT;Adet;0;;
114;HORTUM SP˜RALL˜ žEFFAF 50; ????? ?????????? ?????????? 50;˜NSAAT;Adet;0;;
115;ISLAK MEND˜L; ??????? ????????;˜NSAAT;Adet;5;;
116;˜LA€LAMA POMPASI; ????????????? (????? ??? ??????????);˜NSAAT;Adet;0;;
117;˜SKELE TEKERLE¦˜ FRENL˜; ?????? ??? ???????????? ????? ? ????????;˜NSAAT;Adet;0;;
118;˜ž€˜ AYAKKABISI (YAZLIK); ??????? ????? (??????);˜NSAAT;Adet;10;;
119;˜ž€˜ KORUMA G™ZLš¦š; ???????? ???? (???????);˜NSAAT;Adet;30;;
120;˜ž€˜ YELE¦˜ (GOLD STEP INVEST); ????? ???????? (Gold Step Invest);˜NSAAT;Adet;200;;
121;˜žKENCE A¦IR T˜P; ????????? ????????? (???????);˜NSAAT;Adet;0;;
122;˜ZOLASYON €˜V˜S˜ (10 cm); ???????????? ?????? (10 ??);˜NSAAT;Adet;200;;
123;KABLOSUZ MOUSE; ???????????? ????;˜NSAAT;Adet;0;;
124;KA¦IT A3; ?????? A3;˜NSAAT;Paket;2;;
125;KA¦IT A4; ?????? A4;˜NSAAT;Paket;10;;
126;KA¦IT BARDAK; ???????? ??????;˜NSAAT;Adet;0;;
127;KA¦IT KISKACI 19mm; ????? ??? ?????? 19 ??;˜NSAAT;Adet;0;;
128;KA¦IT KISKACI 25mm; ????? ??? ?????? 25 ??;˜NSAAT;Adet;0;;
129;KA¦IT MAKASI; ??????? ??? ??????;˜NSAAT;Adet;0;;
130;KALEM MARKER (S˜YAH); ?????? ??????;˜NSAAT;Adet;20;;
131;KALEML˜K; ????????? ??? ?????;˜NSAAT;Adet;0;;
132;KAPI K˜L˜D˜; ????? ???????;˜NSAAT;Adet;3;;
133;KAPI KOLU + K˜L˜T TAKIM; ??????? ????? + ????? (????????);˜NSAAT;Adet;0;;
134;KAU€UK PR˜Z 3 Lš; ????????? ??????? ???????;˜NSAAT;Adet;0;;
135;KAYNA€I ELD˜VEN˜; ????????? ????????;˜NSAAT;Adet;10;;
136;KAYNAK žASE PENSES˜; ????? ?????????? ??? ??????;˜NSAAT;Adet;0;;
137;KEND˜NDEN YAPIžKANLI POST˜T 76X76mm; ????????????? ??????? 76x76 ??;˜NSAAT;Adet;0;;
138;KESER SAPSIZ; ??????? (??? ?????);˜NSAAT;Adet;0;;
139;K˜L˜TL˜ PENSE; ??????????? ????????? (????????);˜NSAAT;Adet;0;;
140;KLANYE + MOUSE (KABLOSUZ); ?????????? + ???? (????????????);˜NSAAT;Takm;0;;
141;KLAS™R A4; ?????-??????????? A4;˜NSAAT;Adet;15;;
142;KL˜MA DUVAR T˜P˜ (12000BTU); ??????????? ?????????? ???? (12000 BTU);˜NSAAT;Takm;1;;
143;KL˜MA DUVAR T˜P˜ (18000BTU); ??????????? ?????????? ???? (18000 BTU);˜NSAAT;Takm;0;;
144;KL˜MA SALON T˜P˜ (24000BTU); ??????????? ?????????/????????? (24000 BTU);˜NSAAT;Takm;0;;
145;KL˜MA SALON T˜P˜ (48000BTU); ??????????? ?????????/????????? (48000 BTU);˜NSAAT;Takm;0;;
146;KOZALAK PAN€; ????? ®?????¯ (????);˜NSAAT;Adet;0;;
147;KURžUN KALEM; ???????? (??????????);˜NSAAT;Adet;0;;
148;KUžAK; ?????? / ????? (? ??????????? ?? ??????????);˜NSAAT;Metre;0;;
149;KUžAK APARATI; ?????????????? ??? ?????;˜NSAAT;Takm;0;;
150;KUžAK KELEP€ES˜; ????? ??? ?????;˜NSAAT;Adet;0;;
151;KšP žEKER; ?????-??????? (??????);˜NSAAT;Paket;30;;
152;KšREK (SAPLI); ?????? ? ??????;˜NSAAT;Adet;0;;
153;LAPTOP; ???????;˜NSAAT;Adet;0;;
154;LED ARMATšR 36W 4000K; LED-?????????? 36?? 4000K;˜NSAAT;Adet;0;;
155;LED LAMBA 36W 4000K; ????? LED 36?? 4000K;˜NSAAT;Adet;0;;
156;LED SIVA šSTš L˜NER; ????????? LED-???????? ??????????;˜NSAAT;Adet;0;;
157;LEH˜M TABANCASI; ???????? ????????;˜NSAAT;Adet;0;;
158;MAKET BI€A¦I; ???????????? ???;˜NSAAT;Adet;0;;
159;MAN˜VELA; ????? (????????);˜NSAAT;Adet;0;;
160;MASTER EMACO S488; Master Emaco S488 (???????????? ??????);˜NSAAT;Kg;0;;
161;MASTER FLOW 928; Master Flow 928 (???????????? ?????);˜NSAAT;Kg;0;;
162;"MON˜T™R 24""";" ??????? 24""";˜NSAAT;Adet;0;;
163;MON˜T™R ADAPT™Rš; ??????? ??? ????????;˜NSAAT;Adet;0;;
164;NESCAFE GOLD; Nescafe Gold (??????????? ????);˜NSAAT;Paket;8;;
165;NOT DEFTER˜ A5 SP˜RALL˜; ??????? A5 ?? ???????;˜NSAAT;Adet;0;;
166;NOTLUK (RENKL˜/YAPIžKANLI); ???? ???????? (???????/???????);˜NSAAT;Adet;5;;
167;ODA PARFšMš; ?????????? ??????? (????????????);˜NSAAT;Adet;10;;
168;OTO YIKAMA FIR€ASI (SAPLI); ????? ??? ????? ?????????? (? ??????);˜NSAAT;Adet;0;;
169;PANO (AYAKLI ˜€˜BOž) 1000X400X300mm; ??? (?? ??????, ??????????) 1000x400x300 ??;˜NSAAT;Adet;0;;
170;PENSE KABLO SOYMA; ?????????? ??? ?????? ???????? (????????);˜NSAAT;Adet;0;;
171;P˜L 9V; ????????? 9V;˜NSAAT;Adet;0;;
172;P˜L AAA; ????????? AAA;˜NSAAT;Adet;0;;
173;PLAST˜K KASA; ??????????? ????;˜NSAAT;Adet;0;;
174;POMPA (SIFIR EM˜ž POMPASI); ????? (???????????????);˜NSAAT;Adet;0;;
175;POžET DOSYA; ????-??????? (????????);˜NSAAT;Adet;300;;
176;PR˜Z T˜R˜FAZE 3X16A; ??????? ?????????? 3x16?;˜NSAAT;Adet;0;;
177;PROF˜L 30X30 26adetX5metre; ??????? 30x30, 26 ??. x 5 ?;˜NSAAT;Metre;0;;
178;PVC BANT 5cm; ???-????? 5 ??;˜NSAAT;Adet;5;;
179;RENKL˜ NOTLUK YAPIžKANLI; ??????? ??????? ???????;˜NSAAT;Adet;0;;
180;REZEVUAR ˜€ TAKIMI; ???????? ??? ?????;˜NSAAT;Adet;0;;
181;RULO FIR€A (PARMAK); ?????-????? (?????, ®???????????¯);˜NSAAT;Adet;10;;
182;SAKSI KOVASI; ??????-?????;˜NSAAT;Adet;0;;
183;SEKRETERL˜K; ?????-??????? (????????????);˜NSAAT;Adet;0;;
184;SIVI SABUN; ?????? ????;˜NSAAT;Litre;50;;
185;S˜LG˜; ??????;˜NSAAT;Adet;0;;
186;S˜L˜KON TABANCASI; ???????? ??? ????????;˜NSAAT;Adet;0;;
187;S˜YAH SALLAMA €AY; ??? ?????? ??????????????;˜NSAAT;Paket;5;;
188;SPANZET (MINI); ??????? ?????? (????);˜NSAAT;Adet;0;;
189;STAFF AYAKKABISI; ????? Staff (???????);˜NSAAT;Adet;7;;
190;STAFF YELE¦˜ (GOLD STEP INVEST); ????? ????????? (Gold Step Invest);˜NSAAT;Adet;30;;
191;STRE€ F˜LM; ??????-??????;˜NSAAT;Rulo;2;;
192;SU DEPOSU 15000lt; ????????? ??? ???? 15000 ?;˜NSAAT;Adet;0;;
193;SU DEPOSU 5000lt; ????????? ??? ???? 5000 ?;˜NSAAT;Adet;0;;
194;SU TUTUCU BANT; ????????????????? ?????;˜NSAAT;Metre;20;;
195;SUNTA V˜DASI 6X70; ??????? ?? ??? 6x70;˜NSAAT;Adet;0;;
196;SšT TOZU; ????? ??????;˜NSAAT;Paket;5;;
197;žEKER (KESME); ?????-??????? (???????);˜NSAAT;Paket;0;;
198;žER˜T METRE (30metre); ??????? 30 ?;˜NSAAT;Adet;0;;
199;TAHTA DE¦NE¦˜ (YER S˜LMEK ˜€˜N); ?????????? ????? (??? ????? ?????);˜NSAAT;Adet;0;;
200;TEE S˜YAH D˜žL˜ 50 - 25; ??????? ????????? ?????? 50?25;˜NSAAT;Adet;0;;
201;TEM˜ZL˜K BEZ˜; ?????? ??? ??????;˜NSAAT;Paket;0;;
202;TEM˜ZL˜K ELD˜VEN˜ (SARI); ???????? ??? ?????? (??????);˜NSAAT;Adet;10;;
203;TEM˜ZL˜K SET˜ KOVALI; ????? ??? ?????? ? ??????;˜NSAAT;Adet;0;;
204;TIB˜ ˜LA€; ????????? Tibi;˜NSAAT;Paket;0;;
205;TRAPEZ SA€ V˜DASI 4.8X50; ??????? ?? ??????????? 4.8x50;˜NSAAT;Adet;0;;
206;TRAPEZ SA€ V˜DASI 5.5X25; ??????? ?? ??????????? 5.5x25;˜NSAAT;Adet;200;;
207;TRAPEZ SA€ V˜DASI 5.5X38; ??????? ?? ??????????? 5.5x38;˜NSAAT;Adet;0;;
208;TRAPEZ SA€ V˜DASI 6.3X125; ??????? ?? ??????????? 6.3x125;˜NSAAT;Adet;200;;
209;TRAPEZ SA€ V˜DASI 6cm; ??????? ?? ??????????? 6 ??;˜NSAAT;Kg;5;;
210;TRAPEZ SA€ V˜DASI 8cm; ??????? ?? ??????????? 8 ??;˜NSAAT;Kg;5;;
211;TUVALET KA¦IDI (STAFF); ????????? ?????? (Staff);˜NSAAT;Adet;100;;
212;TUVALET KA¦IDI STAFF; ????????? ?????? Staff;˜NSAAT;Adet;0;;
213;TUZ RUHU; ??????? ???????;˜NSAAT;Adet;0;;
214;TšKENMEZ KALEM (KIRMIZI); ????? ????????? (???????);˜NSAAT;Adet;30;;
215;TšKENMEZ KALEM (MAV˜); ????? ????????? (?????);˜NSAAT;Adet;0;;
216;TšKENMEZ KALEM (S˜YAH); ????? ????????? (??????);˜NSAAT;Adet;30;;
217;TšRK KAHVES˜ (100gr); ???????? ???? (100?);˜NSAAT;Paket;10;;
218;V˜DA AL€IPAN (S˜VR˜ š€LU 3.5X25); ??????? ?? ???????????? (??????, 3.5x25);˜NSAAT;Kg;5;;
219;V˜DA MATKAP U€LU V˜DA 3.5X25; ??????? ???????????? 3.5x25;˜NSAAT;Adet;100;;
220;V˜DA MATKAP U€LU V˜DA 3.5X35; ??????? ???????????? 3.5x35;˜NSAAT;Adet;100;;
221;V˜DA SUNTA (S˜VR˜ š€LU 3.5X18); ??????? ?? ??? (??????, 3.5x18);˜NSAAT;Adet;100;;
222;V˜DA TARAPEZ SA€ 6.3X180; ??????? ?? ??????????? 6.3x180;˜NSAAT;Adet;0;;
223;V˜DA TARAPEZ SA€ 6.3X55; ??????? ?? ??????????? 6.3x55;˜NSAAT;Adet;0;;
224;XPS PENOPLEKS 2cm; XPS Penoplex 2 ?? (???????????????? ??????????????);˜NSAAT;Mý;3 000;;
225;YA¦LI RADYAT™R; ???????? ????????;˜NSAAT;Adet;20;;
226;YANGIN BALTASI; ???????? ?????;˜NSAAT;Adet;0;;
227;YANGIN DOLABI KIRMIZI; ???????? ???? ???????;˜NSAAT;Adet;0;;
228;YANGIN KOVASI; ???????? ?????;˜NSAAT;Adet;0;;
229;YANGIN KšRE¦˜; ???????? ??????;˜NSAAT;Adet;0;;
230;YANGIN TšPš 5kg; ???????????? 5 ??;˜NSAAT;Adet;0;;
231;YEMEK TABA¦I; ????????? ???????;˜NSAAT;Adet;0;;
232;YER S˜LME BEZ˜; ?????? ??? ????;˜NSAAT;Adet;0;;
233;YEž˜L SALLAMA €AY; ??? ??????? ??????????????;˜NSAAT;Paket;5;;
234;Z PE€ETE; ???????? Z-???????;˜NSAAT;Paket;30;;
235;ZARF A4; ??????? A4;˜NSAAT;Adet;0;;
236;ZIMBA MAK˜NASI; ???????;˜NSAAT;Adet;0;;
237;ZIMBA TEL˜; ????? ??? ????????;˜NSAAT;Paket;0;;
238;ZIMBA TEL˜ 24/6; ????? 24/6;˜NSAAT;Paket;0;;
239;ZIMBA TEL˜ No.10; ????? ?10;˜NSAAT;Paket;0;;
240;MONT STAFF ; ?????? STAFF;˜NSAAT;Adet;165;;
241;MONT ˜ž€˜; ??????? ??????;˜NSAAT;Adet;85;;
242;AYAKKABI STAFF; ?????? ??????? STAFF;˜NSAAT;Adet;6;;
243;A€IK A¦IZ ANAHTAR TAKIMI (KOMB˜NE); ????? ??????????????? ??????? ??????;MEKAN˜K;Adet;0;;
244;ADAPT™R CONTA 50; ?????????-??????? 50;MEKAN˜K;Adet;0;;
245;ALšM˜NYšM ˜SKELE; ???????????? ???????????? ????;MEKAN˜K;Takm;0;;
246;ALšM˜NYšM MERD˜VEN 12 BASAMAKLI (SšRGšLš); ??????????? ???????? 12-??????????? (?????????);MEKAN˜K;Adet;0;;
247;ANT˜PAS BOYA (GR˜); ???????????????? ?????? (?????);MEKAN˜K;Kg;100;;
248;ARA MUSLUK  (1/2 X 3/8); ????????????? ???? (1/2 x 3/8);MEKAN˜K;Adet;0;;
249;AYAKKABI KIžLIK STAFF; ?????? ??????? STAFF;MEKAN˜K;Adet;0;;
250;B˜ METAL ADAPT™R 5/8; ??????????????? ??????? 5/8;MEKAN˜K;Adet;0;;
251;"BORU ANAHTARI 1 1/2""";" ??????? ???? 1 1/2""";MEKAN˜K;Adet;0;;
252;"BORU ANAHTARI 1""";" ??????? ???? 1""";MEKAN˜K;Adet;0;;
253;"BORU ANAHTARI 2""";" ??????? ???? 2""";MEKAN˜K;Adet;0;;
254;"BORU MENGENES˜ 2 1/2""";" ??????? ????? 2 1/2""";MEKAN˜K;Adet;0;;
255;C KL˜PS HAVALANDIRMA; ?-???????? ????? ??? ??????????;MEKAN˜K;Adet;0;;
256;CALASKAL 1 TONLUK; ?????? ???? 1 ?;MEKAN˜K;Adet;0;;
257;CALASKAL Z˜NC˜RL˜ 2 TON; ?????? ???? 2 ?;MEKAN˜K;Adet;0;;
258;CIRCIR ANAHTAR 13mm; ??????????? ???? 13 ??;MEKAN˜K;Adet;0;;
259;C˜VATA M5X16mm; ???? M5x16 ??;MEKAN˜K;Kg;0;;
260;CONTA NEOPREN 5X20; ??????????? ????????? 5x20;MEKAN˜K;Adet;0;;
261;DEM˜R BORU 25; ???????? ????? 25;MEKAN˜K;Metre;0;;
262;DEM˜R BORU 32; ???????? ????? 32;MEKAN˜K;Metre;0;;
263;DEM˜R BORU 48; ???????? ????? 48;MEKAN˜K;Metre;0;;
264;DEM˜R FLANž 100; ???????? ?????? 100;MEKAN˜K;Adet;0;;
265;DEM˜R FLANž 150; ???????? ?????? 150;MEKAN˜K;Adet;5;;
266;DEM˜R PLAKA 200X200X10mm; ???????? ????? 200x200x10 ??;MEKAN˜K;Adet;0;;
267;DRENAJ POMPASI (DALGI€ T˜P); ????????? ????? (????????? ???);MEKAN˜K;Adet;0;;
268;DšBEL (€EL˜K+G™MLEKL˜) M12X110; ???????? ????? ? ??????? M12x110;MEKAN˜K;Adet;0;;
269;DšBEL (S T˜P˜) M10; ?????? (??? S) M10;MEKAN˜K;Adet;500;;
270;DšBEL PATLATMALI M10; ???????? ?????? M10;MEKAN˜K;Adet;0;;
271;DšBEL S T˜P˜ M10; ?????? S-???? M10;MEKAN˜K;Adet;300;;
272;DšBEL S T˜P˜ M12; ?????? (??? S) M12;MEKAN˜K;Adet;200;;
273;DšBEL S T˜P˜ M8; ?????? (??? S) M8;MEKAN˜K;Adet;100;;
274;DšZ MATKAP ELEKTR˜KL˜ ; ????????????? ????? (??????);MEKAN˜K;Adet;0;;
275;EMN˜YET VENT˜L˜ 15; ????????????????? ?????? 15;MEKAN˜K;Adet;0;;
276;EVYE BATARYASI UZUN; ???????? ????????? (??????????);MEKAN˜K;Adet;0;;
277;FERFORLE PROF˜L 40X40X200mm; ??????? ??????? 40x40x200 ??;MEKAN˜K;Metre;536;;
278;FLANž (DEM˜R) 100; ?????? (????????) 100;MEKAN˜K;Adet;0;;
279;FLANž (DEM˜R) 150; ?????? (????????) 150;MEKAN˜K;Adet;0;;
280;FLANž (DEM˜R) 65; ?????? (????????) 65;MEKAN˜K;Adet;5;;
281;FLANž (DEM˜R) 80; ?????? (????????) 80;MEKAN˜K;Adet;0;;
